Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
cjXtfCN3qMzJbBqcd,Viper City OG - LRB,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.81,0.03,0.1,0.05,0.03,0.33,0.19,0.09,0.0,0.21,0.0,0.0,,1.57,0.01,75.02,0.01,0.01,0.49,0.01,,,2.11,0.5,0.01,,viper-city-og-lrb
cjkLgY4HgJcgJY5gT,Black Mamba ThcA,Concentrate,2018-03-15,2018-03-15,2.0,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.05,0.0,0.08,0.06,0.0,0.09,0.09,0.05,0.04,0.25,0.04,0.0,,1.13,0.01,92.23,0.01,0.01,0.01,0.01,,,1.37,0.01,0.01,,black-mamba-thca
cjwE8Ebv3TqFvsWuh,HBC-1,Concentrate,2017-03-21,2017-03-22,46.0,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.03,0.07,0.13,0.0,0.41,0.65,0.0,0.21,1.39,0.0,0.0,,67.9,,,0.28,0.26,,0.46,,,,2.88,0.95,,hbc-1
ckc3A2ygf8TQpo6js,Hot Rod #4 - LRB,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.04,0.18,0.06,0.0,0.39,0.04,0.01,0.0,0.2,0.0,0.0,,1.16,0.01,88.87,0.01,0.01,0.01,0.01,,,4.23,0.68,0.09,,hot-rod-4-lrb
ckigFHMeGzavXvrFW,Death Star - LR,Concentrate,2016-02-16,2016-02-17,,,,0.0,0.0,,0.0,0.05,0.0,0.01,0.0,0.05,0.0,0.6,0.0,0.05,0.06,0.35,0.17,0.01,0.7,0.65,0.02,0.12,1.02,0.01,0.0,,52.4,,,0.11,0.09,,0.02,,,,1.05,0.26,,death-star-lr
cmYFo8tNjvLwTKc4G,Tardis OG - CR,Concentrate,2016-01-21,2016-01-22,,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.29,0.05,0.19,0.23,0.02,0.34,0.68,0.1,0.02,0.78,0.01,0.0,,46.2,,,0.43,0.06,,0.02,,,,0.88,0.3,,tardis-og-cr
cn8ew3Bo8mB2NFboF,Con 4,Concentrate,2015-11-09,2015-11-11,24.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,85.7,,,0.22,0.72,,0.13,,,,0.84,0.57,,con-4
cqHq3QFdiXLPDbiMT,Sour Banana Sherbert LR,Concentrate,2018-04-30,2018-04-30,,0.0,0.0,,,,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.1,0.07,0.47,0.25,0.0,0.68,0.55,0.06,0.09,1.68,0.05,0.0,,0.63,0.01,85.41,0.01,0.01,0.01,0.01,,,1.94,0.01,0.01,,sour-banana-sherbert-lr
crMP9XTXAGGeBZ8BH,050718-04 Super Lemon Cookies,Concentrate,2018-05-15,2018-05-15,,0.0,0.0,,,,0.05,0.06,0.0,0.0,0.0,0.07,0.0,0.12,0.0,0.72,0.0,0.1,0.16,0.08,0.17,0.27,0.32,0.06,0.36,0.06,0.03,,1.58,0.01,86.26,0.01,0.01,0.01,0.01,,,4.88,0.01,0.01,,050718-04-super-lemon-cookies
crkoai9D8zzzc4Qc5,STRAW LEM-041718,Concentrate,2018-04-25,2018-04-25,,0.0,0.0,,,,0.0,0.09,0.0,0.04,0.0,0.06,0.0,0.31,0.0,2.1,0.08,0.3,0.43,0.14,0.49,1.15,1.06,0.0,1.55,0.09,0.03,,53.85,0.01,20.24,0.41,0.23,0.01,1.51,,,4.26,2.14,1.85,,straw-lem-041718
csxqLPJWWcd5vZie6,S-Terp,Concentrate,2017-02-02,2017-02-04,,,,0.0,0.0,,0.0,0.11,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.12,0.9,0.46,0.0,2.44,1.78,0.0,0.59,4.1,0.0,0.0,,49.6,,,0.21,0.3,,0.5,,,,2.75,0.47,,s-terp
ctf5SzHzzm8vDnHwL,Lemon Cookie - A - LR,Concentrate,2016-09-06,2016-09-07,,,,0.0,0.0,,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.04,0.0,1.33,0.03,0.15,0.45,0.12,0.28,0.21,0.18,0.05,0.45,0.08,0.01,,64.1,,,1.83,0.0,,0.41,,,,5.52,0.92,,lemon-cookie-a-lr
cwQaECgA8rJ4fapYh,Somango Widow - Batter,Concentrate,2015-12-03,2015-12-04,,,,0.0,0.0,,0.02,0.04,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.39,0.01,0.05,0.12,0.07,0.14,0.26,0.07,0.02,0.33,0.05,0.0,,59.2,,,0.29,0.12,,0.04,,,,3.04,0.42,,somango-widow-batter
cwoewZBNPCS85HHD6,Blackdog 2,Concentrate,2018-02-14,2018-02-14,57.0,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.08,0.06,0.16,0.2,0.0,0.26,0.63,0.06,0.12,1.8,0.04,0.0,,1.05,0.01,93.87,0.01,0.01,0.01,0.01,,,2.89,0.01,0.01,,blackdog-2
