Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
,GSC (13604),"Flower, Inhalable",2016-11-04,,162,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,0.0,0.028999999999999998,0.141,0.01,0.0,0.385,0.161,,0.02,0.17300000000000001,0.0,0.0,,0.8,0.0,20.03,0.01,0.0,0.1,0.0,0.0,0.0,1.84,0.07,0.06,,gsc
,Bio Diesal,"Flower, Inhalable",2016-11-04,,301,,,,,,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.001,0.065,0.0,0.14800000000000002,0.129,0.15,0.0,0.47200000000000003,0.981,,0.05,0.055,0.0,0.0,,1.48,0.0,16.24,0.04,0.0,0.06,0.0,0.0,0.0,0.39,0.13,0.07,,bio-diesal
,Platinum OG,"Flower, Inhalable",2016-11-07,,428,,,,,,0.0,0.02,0.01,0.0,0.001,0.125,0.0,0.121,0.077,0.01,0.05,0.129,0.168,0.0,0.447,0.091,,0.157,0.885,0.0,0.0,,0.95,0.02,16.76,0.04,0.0,0.05,0.0,0.0,0.0,0.24,0.14,0.06,,platinum-og
,Gelato,"Flower, Inhalable",2016-11-07,,428,,,,,,0.0,0.013999999999999999,0.012,0.0,0.001,0.10099999999999999,0.0,0.125,0.07200000000000001,0.006999999999999999,0.047,0.127,0.091,0.0,0.444,0.064,,0.10400000000000001,0.628,0.0,0.0,,1.22,0.03,15.06,0.04,0.0,0.05,0.0,0.0,0.0,0.25,0.14,0.05,,gelato
,Sour D,"Flower, Inhalable",2016-11-07,,428,,,,,,0.0,0.012,0.027999999999999997,0.0,0.002,0.0,0.0,0.059000000000000004,0.003,0.008,0.192,0.414,0.049,0.0,1.023,0.222,,0.083,0.575,0.0,0.0,,0.75,0.03,19.48,0.02,0.0,0.08,0.0,0.0,0.0,0.33,0.07,0.08,,sour-d
,Dream GIrl,"Flower, Inhalable",2016-11-07,,428,,,,,,0.0,0.006999999999999999,0.016,0.0,0.001,0.0,0.0,0.047,0.002,0.002,0.047,0.136,0.409,0.0,0.491,0.853,,0.188,0.12300000000000001,0.001,0.0,,0.41,0.02,13.89,0.01,0.0,0.06,0.0,0.0,0.0,0.1,0.05,0.0,,dream-girl
,bubba Kush,"Flower, Inhalable",2016-11-07,,429,,,,,,0.0,0.012,0.013000000000000001,0.0,0.002,0.127,0.0,0.012,0.001,0.011000000000000001,0.11800000000000001,0.145,0.05,0.0,0.446,0.182,,0.083,0.5670000000000001,0.002,0.0,,0.46,0.0,17.75,0.03,0.0,0.06,0.0,0.0,0.0,0.37,0.09,0.0,,bubba-kush
,Orange Crush,"Flower, Inhalable",2016-11-07,,429,,,,,,0.0,0.006999999999999999,0.028999999999999998,0.0,0.002,0.001,0.0,0.052000000000000005,0.043,0.006,0.099,0.13699999999999998,0.228,0.0,0.426,1.175,,0.121,0.272,0.0,0.0,,0.63,0.0,15.12,0.02,0.0,0.04,0.0,0.0,0.0,0.09,0.07,0.0,,orange-crush
,Purple Something or other,"Flower, Inhalable",2016-11-08,,430,,,,,,0.0,0.005,0.026000000000000002,0.0,0.001,0.135,0.0,0.042,0.14400000000000002,0.0,0.057999999999999996,0.19399999999999998,0.6709999999999999,0.0,0.546,1.2990000000000002,,0.205,0.10800000000000001,0.0,0.0,,0.78,0.02,15.98,0.0,0.0,0.05,0.0,0.0,0.0,0.94,0.05,0.03,,purple-something-or-other
,Berry White,"Concentrate, Inhalable",2016-11-08,,431,,,,,,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.204,0.037000000000000005,0.0,0.58,0.488,,0.054000000000000006,0.43799999999999994,0.0,0.0,,73.62,0.56,0.2,0.51,3.28,0.07,0.47,0.0,0.0,0.0,2.32,0.08,,berry-white
,Sour Diesel,"Concentrate, Inhalable",2016-11-08,,431,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.021,0.0,0.0,0.141,0.07200000000000001,0.0,0.40299999999999997,0.39,,0.062,0.294,0.0,0.0,,76.4,0.57,0.22,0.53,3.46,0.07,0.3,0.0,0.0,0.0,2.47,0.09,,sour-diesel
,Allen Wrench,"Concentrate, Inhalable",2016-11-08,,431,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.067,0.10099999999999999,0.0,0.19399999999999998,1.2930000000000001,,0.069,0.135,0.0,0.0,,75.45,0.57,0.2,0.53,3.31,0.06,0.3,0.0,0.0,0.0,2.34,0.1,,allen-wrench
,Mob Boss,"Concentrate, Inhalable",2016-11-08,,431,,,,,,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.084,0.11900000000000001,0.0,0.0,0.13,0.337,0.0,0.377,0.581,,0.19399999999999998,0.569,0.0,0.0,,79.98,0.6,0.2,0.56,3.62,0.07,0.31,0.0,0.0,0.0,2.54,0.11,,mob-boss
,HPRC 3x Crazy 11/03/16 Rm1,"Flower, Inhalable",2016-11-08,,432,,,,,,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.047,0.0,0.0,0.0,0.085,0.002,0.0,0.252,0.41,,0.011000000000000001,0.067,0.0,0.0,,0.44,0.0,15.7,0.01,0.0,0.04,0.0,0.0,0.0,0.3,0.05,0.0,,hprc-3x-crazy-110316-rm1
,Gorilla Glue #4,"Hybrid, Flower, Inhalable",2016-11-08,,351,,,,,,0.0,0.01,0.008,0.0,0.027000000000000003,0.0,0.0,0.057999999999999996,0.0,0.006999999999999999,0.10800000000000001,0.364,0.026000000000000002,0.0,1.185,0.531,,0.051,0.392,0.0,0.0,,2.26,0.0,19.11,0.03,0.0,0.06,0.0,0.0,0.02,0.24,0.05,0.02,,gorilla-glue-4
,Skywalker OG,"Indica, Flower, Inhalable",2016-11-08,,351,,,,,,0.0,0.027999999999999997,0.025,0.0,0.024,0.0,0.0,0.154,0.0,0.012,0.039,0.201,0.095,0.0,0.6629999999999999,1.185,,0.16,0.91,0.0,0.0,,1.06,0.01,23.23,0.01,0.0,0.07,0.0,0.01,0.06,0.69,0.1,0.02,,skywalker-og
,Glory Daze (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.038,0.0,0.006,0.002,0.0,0.125,0.0,0.027999999999999997,0.255,0.995,0.038,0.111,0.083,0.021,0.275,0.542,,0.135,0.22899999999999998,0.017,0.0,,1.11,0.0,18.83,0.04,0.0,0.05,0.0,0.0,0.0,1.82,0.11,0.0,,glory-daze
,Master Blaster (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.048,0.005,0.003,0.005,0.002,0.08199999999999999,0.008,0.0,0.019,1.256,0.039,0.10099999999999999,0.08900000000000001,0.040999999999999995,0.251,0.816,,0.159,0.306,0.023,0.0,,1.09,0.0,22.6,0.04,0.0,0.08,0.0,0.0,0.0,0.92,0.13,0.0,,master-blaster
,City Lights (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.07200000000000001,0.003,0.003,0.006,0.011000000000000001,0.092,0.004,0.10800000000000001,0.147,2.061,0.006999999999999999,0.033,0.11800000000000001,0.065,0.08900000000000001,0.8029999999999999,,0.21,0.355,0.034,0.0,,0.84,0.01,18.29,0.02,0.0,0.05,0.0,0.0,0.0,0.89,0.07,0.0,,city-lights
,Earth Angel (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.003,0.008,0.0,0.0,0.062,0.0,0.024,0.0,0.006,0.004,0.086,0.025,0.0,0.22,0.545,,0.049,0.17,0.0,0.0,,0.7,0.01,17.12,0.02,0.0,0.07,0.0,0.0,0.0,0.12,0.08,0.0,,earth-angel
,Blue Frost (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.008,0.013999999999999999,0.0,0.0,0.006999999999999999,0.0,0.096,0.0,0.006,0.046,0.154,0.299,0.0,0.396,0.877,,0.161,0.187,0.0,0.0,,0.64,0.0,20.09,0.01,0.0,0.05,0.0,0.0,0.0,0.67,0.09,0.0,,blue-frost
,Lemon Tree (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.006999999999999999,0.009000000000000001,0.0,0.032,0.011000000000000001,0.004,0.19,0.156,0.009000000000000001,0.11800000000000001,0.1,0.266,0.0,0.308,1.072,,0.11199999999999999,0.24100000000000002,0.0,0.0,,1.26,0.0,16.37,0.02,0.0,0.04,0.0,0.0,0.0,0.43,0.08,0.0,,lemon-tree
,Chiquita Banana (ID-hyb),"Flower, Inhalable",2016-11-08,,433,,,,,,0.0,0.013999999999999999,0.008,0.0,0.0,0.0,0.0,0.024,0.187,0.365,0.009000000000000001,0.096,0.111,0.0,0.298,0.618,,0.145,0.701,0.0,0.0,,1.2,0.0,29.72,0.01,0.0,0.07,0.0,0.0,0.0,0.53,0.26,0.03,,chiquita-banana
