strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
cookie-wreck-batter,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.06,0.28,0.02,0.0,0.62,1.09,0.0,0.0,0.4,0.0,0.0,,68.0,,,0.34,0.23,,0.39,,,,3.86,0.6,,0,1,0
cookie-wreck-lrb,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.18,0.05,0.39,0.0,0.0,0.78,0.07,0.02,0.0,0.17,0.0,0.0,,1.22,0.01,75.4,0.01,0.01,0.51,0.01,,,3.19,0.52,0.05,,0,1,0
cookie-wreck-og,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.15,0.0,0.0,0.06,0.34,0.04,0.0,0.77,1.1,0.0,0.0,0.46,0.0,0.0,,57.0,,,0.32,0.27,,0.42,,,,3.23,0.46,,0,1,0
cookies,0.0,0.0,0.0,0.0,,0.0,0.0032500000000000003,0.09100000000000001,0.0,0.000125,0.0052499999999999995,0.0,0.3384375,0.000125,0.002125,0.032125,0.7859375,0.37681249999999994,0.0,0.8976250000000001,0.14381249999999998,0.03666666666666667,0.0243125,0.36575,0.0,0.0,24.235,13.486875,0.0016666666666666668,23.035,0.15750000000000003,0.6475,0.10142857142857144,0.415,0.0,0.0,1.0007142857142857,1.05,0.32266666666666666,14.5,8,3,5
cookies-1,,,,,,,,0.245,,,,,0.6863333333333334,0.0,0.0,,0.7926666666666667,0.7086666666666667,,1.179,0.07233333333333333,,0.02966666666666667,0.9623333333333334,,,38.25,2.1133333333333333,,,,0.12999999999999998,0.16,0.18999999999999997,,,0.9550000000000001,0.08,0.08333333333333333,,3,0,0
cookies-13-r2,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.03,0.05,0.22,0.0,0.12,0.57,0.0,0.12,0.14,0.0,0.0,,0.59,0.01,25.35,0.01,0.01,0.01,0.01,,,0.61,0.01,0.01,13.4,0,1,0
cookies-2,,,,,,,,0.38,,,,,1.37,,0.0,,0.78,0.75,,1.14,0.11,,0.0,0.0,,,17.78,0.345,,,,0.115,0.14500000000000002,0.10500000000000001,,,0.74,0.08,0.07500000000000001,,2,0,0
cookies-2411,,,,,,,,,,,,,,,,,,,,,,,,,,,71.34,3.03,,,,,2.24,,,,,0.35,0.06,,1,0,0
cookies-3316,,,,,,,,,,,,,,,,,,,,,,,,,,,82.94,1.38,,,,,0.28,,,,,0.74,,,1,0,0
cookies-7906,,,,,,,,,,,,,,,,,,,,,,,,,,,71.65,6.91,,,,0.19,0.38,0.46,,,,0.9,0.27,,1,0,0
cookies-99-live-res,,,,,,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.363,0.0,0.0,0.0,1.221,0.0,0.0,3.12,0.18600000000000005,,0.0,0.21600000000000005,0.0,0.0,,5.62,0.0,72.22,0.0,0.0,0.15,0.0,0.0,0.0,1.72,0.23,0.08,,0,0,1
cookies-and-chem,0.0,0.0,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.03,0.04,0.055,0.0,0.14,0.55,0.0,0.095,0.605,0.01,0.0,,10.565,0.01,29.85,0.049999999999999996,0.065,0.01,0.07500000000000001,,,1.23,0.6549999999999999,0.125,10.16,0,2,0
cookies-and-chem-lr,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.13,0.06,0.34,0.14,0.0,0.58,0.26,0.0,0.07,0.82,0.0,0.0,,58.4,,,0.22,0.26,,0.56,,,,2.01,0.85,,0,1,0
cookies-and-cream,,,,,,0.0,0.018000000000000002,0.28555555555555556,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.38255555555555554,0.009333333333333334,0.0,1.2113333333333332,0.07422222222222223,,0.010777777777777778,0.18833333333333335,0.0,0.0,31.12125,1.6655555555555557,0.0,26.17,0.0,0.04,0.06777777777777778,0.17444444444444443,0.0,0.0,1.7755555555555558,0.175,0.06777777777777778,,8,0,1
cookies-and-cream-6,,,,,,,,0.0,,,,,0.0,,1.23,,1.12,0.0,,0.49,0.08,,0.0,0.0,,,21.93,0.53,,,,,0.05,0.15,,,0.47,,0.01,,1,0,0
