strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
1-aeroponics,,,,,,,,,,,,,,,,,,,,,,,,,,,18.54,0.4,,,,,,0.17,,,,0.04,,,1,0,0
1-clear,,,,,,,,0.0,,,,,0.0,,0.39,,3.13,0.13,,0.84,0.0,,0.0,0.0,,,,82.48,0.23,,,2.51,,0.4,,,,4.13,1.2,,1,0,0
1-collector-1,,,,,,,,0.0,,,,,0.0,,1.08,,0.0,2.24,,0.0,0.19,,0.0,0.0,,,45.89,10.78,,,,,0.19,,,,0.74,,,,1,0,0
1-gram-green-crack-del-agua,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,1.68,,0.88,0.22,,0.0,0.0,,,43.64,6.37,,,,0.36,0.2,0.33,,,0.76,,0.19,,1,0,0
1-gram-mamma-gold-del-agua,,,,,,,,0.0,,,,,0.0,,0.77,,0.73,0.0,,1.16,0.28,,0.0,0.0,,,58.37,3.25,,,,,0.25,0.46,,,2.38,,0.12,,1,0,0
1-gram-sour-diesel-del-agua,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,1.83,,0.94,0.24,,0.0,0.0,,,51.04,4.12,,,,,0.2,0.31,,,1.5,,,,1,0,0
1-matanuska-thunder-fuck,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64,1.01,,,,0.21,,,,,0.71,0.01,,,1,0,0
1-mr-nice,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47,0.76,,,,0.03,0.03,,,,,,,,1,0,0
1-ogc,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.17,0.02,0.0,0.43,0.04,0.0,0.04,0.37,0.0,0.0,,19.4,,,0.14,0.16,,0.37,,,,1.07,0.41,13.0,0,1,0
1-post-run,,,,,,,,0.0,,,,,0.0,,0.0,,0.74,0.0,,0.0,0.0,,0.0,0.0,,,8.88,0.25,,,,,0.03,0.03,,,0.14,,,,1,0,0
1-raw-220,,,,,,,,1.24,,,,,0.0,,0.0,,1.26,0.76,,0.39,0.0,,0.0,0.0,,,33.42,1.15,,,,,0.11,0.17,,,0.36,,0.07,,1,0,0
1-sc,,,,,,,,,,,,,,,,,,,,,,,,,,,15.81,0.15,,,,0.05,0.08,,,,,,,,1,0,0
1-skunk,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,40.17,,,,1.52,0.59,0.2,,,,0.76,0.58,,1,0,0
1-special-blend-66-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.42,1.22,,1.36,0.0,,0.0,0.0,,,50.37,31.85,,,,0.24,0.15,0.45,,,2.44,0.95,0.45,,1,0,0
1-stage,,,,,,,,1.36,,,,,6.8,,0.0,,0.57,1.8,,1.83,0.26,,0.0,0.0,,,41.66,11.43,,,,0.02,0.56,0.41,,,1.36,0.52,0.52,,1,0,0
1-star-bubble-hash,,,,,,,,0.41,,,,,5.39,,0.04,,0.38,2.55,,1.3,0.0,,0.0,0.0,,,18.16,2.26,,,,0.15,0.46,0.13,,,0.53,0.45,0.22,,1,0,0
1-v,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.99,0.0,,0.0,0.0,,,3.45,46.96,,,,0.34,7.26,17.39,,,0.4,1.33,1.31,,1,0,0
10,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.015,0.03,0.07,0.0,0.15666666666666665,0.05666666666666667,0.0,0.06,0.24,0.0,0.0,11.425,15.196000000000002,,,0.105,0.14333333333333334,2.305,10.64,,,,0.7939999999999999,1.38,13.0,3,2,0
10-11-14b,,,,,,,,0.0,,,,,0.0,,0.0,,1.68,0.0,,0.24,0.33,,0.0,0.0,,,17.72,1.73,,,,0.05,0.09,0.14,,,0.16,,0.07,,1,0,0
10-8-62-7,,,,,,,,0.28,,,,,2.35,,0.0,,0.15,0.63,,0.76,3.14,,0.0,0.0,,,16.74,0.57,,,,,0.18,0.13,,,0.27,,0.08,,1,0,0
10-pineapple-budder,,,,,,,,0.88,,,,,7.0,,0.0,,0.08,2.14,,1.4,0.0,,0.0,1.96,,,48.9,3.29,,,,,1.34,0.5,,,3.64,,0.35,,1,0,0
10-strain-sugar-leaf-blend,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.34,,0.0,0.0,,,12.68,1.87,,,,0.07,0.08,0.16,,,0.29,,0.3,,1,0,0
100114-ha,,,,,,,,0.0,,,,,0.0,,0.0,,0.06,0.0,,0.33,0.37,,0.0,3.11,,,10.4,7.57,,,,0.15,34.93,6.51,,,1.02,0.43,0.61,,1,0,0
100114-hr,,,,,,,,0.34,,,,,0.0,,0.0,,0.0,0.0,,0.62,0.41,,0.0,3.87,,,10.95,7.67,,,,0.13,36.3,6.5,,,1.05,0.46,0.63,,1,0,0
100114-hu,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.62,,0.0,2.73,,,6.44,4.09,,,,0.05,18.02,3.03,,,0.53,1.01,0.31,,1,0,0
1003,,,0.0,0.0,,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.05,0.25,0.0,0.0,0.06,0.01,0.13,0.03,0.05,0.08,0.17,0.01,0.0,,14.5,,,0.04,0.03,,0.01,,,,0.38,0.07,11.0,0,1,0
1004,,,0.0,0.0,,0.0,0.01,0.065,0.0,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.15000000000000002,0.33,0.0,0.03,0.215,0.0,0.0,0.87,9.88,,,0.04,0.03,0.1,0.01,,,,0.38,0.15,10.0,1,1,0
1005,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.005,0.0,0.055,0.03,0.0,0.14,0.33,0.0,0.045,0.33,0.0,0.0,2.07,11.385,,,0.08,0.04,0.1,0.030000000000000002,,,0.05,0.28,0.12000000000000001,3.0,1,1,0
1006,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.31,0.36,0.0,0.08,0.41,0.0,0.0,,25.3,,,0.09,0.03,,0.01,,,,0.35,0.16,10.0,0,1,0
101,,,,,,,,0.0,,,,,0.0,,0.0,,1.06,3.86,,1.76,1.87,,0.0,0.0,,,79.76,3.08,,,,,0.19,0.15,,,0.51,,0.12,,1,0,0
101-headband,,,,,,,,0.79,,,,,1.71,,0.0,,1.57,1.05,,0.92,0.13,,0.0,0.0,,,15.11,0.29,,,,,0.14,0.23,,,0.08,,0.04,,1,0,0
102,,,,,,,,0.0,,,,,0.0,,0.0,,0.46,3.15,,2.03,1.25,,0.0,0.0,,,75.79,5.38,,,,,0.2,0.39,,,0.78,,0.15,,1,0,0
102115-shk-batch,,,,,,,,0.0,,,,,0.0,,0.0,,0.94,0.78,,1.08,0.0,,0.0,0.0,,,1.97,36.55,,,,1.0,0.17,0.54,,,0.52,1.35,4.27,,1,0,0
102215-w,,,,,,,,1.28,,,,,0.0,,0.0,,2.13,0.0,,1.18,0.28,,0.0,0.0,,,2.44,77.56,,,,0.31,,,,,,0.29,1.36,,1,0,0
