index,Strain,Type,Rating,Effects,Flavor,Description,full_descriptions
1129,jericho-haze,sativa,5,"tingly,uplifted,creative,energetic,focused","strawberry,apple,earthy","jericho haze in an indian landrace sativa that was transplanted stateside by vidl of oregon. this strain was backcrossed to emphasize and stabilize its alluring attributes, including a sweet melon and strawberry aroma and energetic physical effects. jericho haze offers an intense physical energy that hits hard and fades slow, leading to a stimulated appetite as the high fades. its dark leaves and copper hairs are a stark contrast against the frosted, nearly blue buds that develop over a naturally long flowering cycle. utilize jericho haze to combat lethargy while stimulating appetite. ","jericho-haze sativa tingly,uplifted,creative,energetic,focused strawberry,apple,earthy jericho haze in an indian landrace sativa that was transplanted stateside by vidl of oregon. this strain was backcrossed to emphasize and stabilize its alluring attributes, including a sweet melon and strawberry aroma and energetic physical effects. jericho haze offers an intense physical energy that hits hard and fades slow, leading to a stimulated appetite as the high fades. its dark leaves and copper hairs are a stark contrast against the frosted, nearly blue buds that develop over a naturally long flowering cycle. utilize jericho haze to combat lethargy while stimulating appetite. "
1130,jesses-girl,indica,4.8,"euphoric,aroused,uplifted,relaxed,happy","earthy,spicy/herbal,woody","jesse’s girl by peak organics is the handcrafted indica-dominant cross of black cherry kush and purple og. this heavy hitter exhibits dense purple buds that frost over with trichomes as the plant matures. jesse’s girl lets off a complex autumnal odor that contains hints of oak, spiced fruit, toasted nut, and earth. enjoy this strain to help relieve stress and fatigue throughout the day. ","jesses-girl indica euphoric,aroused,uplifted,relaxed,happy earthy,spicy/herbal,woody jesse’s girl by peak organics is the handcrafted indica-dominant cross of black cherry kush and purple og. this heavy hitter exhibits dense purple buds that frost over with trichomes as the plant matures. jesse’s girl lets off a complex autumnal odor that contains hints of oak, spiced fruit, toasted nut, and earth. enjoy this strain to help relieve stress and fatigue throughout the day. "
1131,jesus,hybrid,4.5,"happy,relaxed,euphoric,giggly,tingly","earthy,citrus,lemon","jesus, not to be confused with jesus og, is a seattle staple grown by solstice. this hybrid is a cross between white widow and blue dynamite, a combination that gives rise to pungent, resin-loaded buds that smell of sweet lemon and herbs. its cerebrally-focused effects give way to happy moods and outbursts of giggles, with soothing full-body relaxation trailing close behind.","jesus hybrid happy,relaxed,euphoric,giggly,tingly earthy,citrus,lemon jesus, not to be confused with jesus og, is a seattle staple grown by solstice. this hybrid is a cross between white widow and blue dynamite, a combination that gives rise to pungent, resin-loaded buds that smell of sweet lemon and herbs. its cerebrally-focused effects give way to happy moods and outbursts of giggles, with soothing full-body relaxation trailing close behind."
1132,jesus-og,sativa,4.6,"uplifted,happy,euphoric,energetic,relaxed","lemon,citrus,earthy","jesus og was bred by tga subcool seeds as the not-so-immaculate conception of hell’s angel og and jack the ripper (talk about an “unholy” parentage). jesus og proves to be a godsend for growers and produces tall plants and heavy yields. users enjoy the lemony kush aroma of this sativa-dominant hybrid, along with heavy effects that relax the body while leaving the mind functional and clear.","jesus-og sativa uplifted,happy,euphoric,energetic,relaxed lemon,citrus,earthy jesus og was bred by tga subcool seeds as the not-so-immaculate conception of hell’s angel og and jack the ripper (talk about an “unholy” parentage). jesus og proves to be a godsend for growers and produces tall plants and heavy yields. users enjoy the lemony kush aroma of this sativa-dominant hybrid, along with heavy effects that relax the body while leaving the mind functional and clear."
1133,jet-fuel,hybrid,4.6,"happy,uplifted,relaxed,euphoric,focused","diesel,pungent,earthy","jet fuel, also known as g6, from 303 seeds is the ultimate cross of some of the most renowned diesel strains. by combining aspen og with high country diesel, we are left with a sativa-driven hybrid that stays true to the influence of sfv og kush and east coast sour diesel in its lineage. the name jet fuel isn’t purely devoted to the sweet, pungent aroma of diesel fumes that this strain exudes, but also the high-energy jolt of uplifting sativa effects that eventually level off to provide a dream-like state of relaxation.","jet-fuel hybrid happy,uplifted,relaxed,euphoric,focused diesel,pungent,earthy jet fuel, also known as g6, from 303 seeds is the ultimate cross of some of the most renowned diesel strains. by combining aspen og with high country diesel, we are left with a sativa-driven hybrid that stays true to the influence of sfv og kush and east coast sour diesel in its lineage. the name jet fuel isn’t purely devoted to the sweet, pungent aroma of diesel fumes that this strain exudes, but also the high-energy jolt of uplifting sativa effects that eventually level off to provide a dream-like state of relaxation."
1134,jilly-dawg,hybrid,5,"uplifted,euphoric,giggly,happy","citrus,mango,pungent","jilly dawg is a sativa-dominant hybrid created by adam dunn. it’s a genetic cross of the tropical jillybean and the potent chemdawg 91. this pairing defines jilly dawg’s unique smell, emanating notes of mango, orange, pine, and diesel. jilly dawg’s sativa-driven effects make it a perfect strain for creative and social consumers looking to spur good conversation and heady thoughts. ","jilly-dawg hybrid uplifted,euphoric,giggly,happy citrus,mango,pungent jilly dawg is a sativa-dominant hybrid created by adam dunn. it’s a genetic cross of the tropical jillybean and the potent chemdawg 91. this pairing defines jilly dawg’s unique smell, emanating notes of mango, orange, pine, and diesel. jilly dawg’s sativa-driven effects make it a perfect strain for creative and social consumers looking to spur good conversation and heady thoughts. "
1135,jillybean,hybrid,4.3,"happy,uplifted,euphoric,relaxed,creative","sweet,citrus,orange","jillybean is described as being an upbeat and happy hybrid, with flavors of tangy orange and mango. this strain is a top choice for creative minds and social butterflies looking for unencumbered euphoria during daytime hours. bred by crossing orange velvet and space queen, jillybean often expresses herself in deep hues of maroon on the leaves. ","jillybean hybrid happy,uplifted,euphoric,relaxed,creative sweet,citrus,orange jillybean is described as being an upbeat and happy hybrid, with flavors of tangy orange and mango. this strain is a top choice for creative minds and social butterflies looking for unencumbered euphoria during daytime hours. bred by crossing orange velvet and space queen, jillybean often expresses herself in deep hues of maroon on the leaves. "
1136,jimi-hendrix,hybrid,4.7,"uplifted,hungry,creative,euphoric,happy","citrus,sweet,earthy","there are many genetic combinations that fall under the name jimi hendrix, but this southern oregon hybrid descends from jack herer, headband, and black cherry soda. led by its sativa genetics, jimi hendrix delivers a cerebrally focused jolt of euphoric energy that helps feed creativity and focus in low doses. in a show of its diverse terpene profile, jimi hendrix has a complex aroma that spans flavors from earthy pine to sweet lemon and citrus. ","jimi-hendrix hybrid uplifted,hungry,creative,euphoric,happy citrus,sweet,earthy there are many genetic combinations that fall under the name jimi hendrix, but this southern oregon hybrid descends from jack herer, headband, and black cherry soda. led by its sativa genetics, jimi hendrix delivers a cerebrally focused jolt of euphoric energy that helps feed creativity and focus in low doses. in a show of its diverse terpene profile, jimi hendrix has a complex aroma that spans flavors from earthy pine to sweet lemon and citrus. "
1137,jock-horror,sativa,4.1,"euphoric,happy,hungry,energetic,creative","sweet,berry,earthy","jock horror is sativa-dominant hybrid parented by northern lights and two other strains of the skunk and haze families. these resinous buds offer a fresh, unique aroma with uplifting effects. best produced indoors, growers can expect these tall plants to flower between 9 and 11 weeks.","jock-horror sativa euphoric,happy,hungry,energetic,creative sweet,berry,earthy jock horror is sativa-dominant hybrid parented by northern lights and two other strains of the skunk and haze families. these resinous buds offer a fresh, unique aroma with uplifting effects. best produced indoors, growers can expect these tall plants to flower between 9 and 11 weeks."
1138,johnnys-tonic,sativa,4.9,"happy,giggly,relaxed,focused,talkative","flowery,earthy,skunk",johnny’s tonic is a sativa-dominant california strain bred by elemental seeds. it took home a 2014 cannabis cup award for its high cbd content inherited from cannatonic.,"johnnys-tonic sativa happy,giggly,relaxed,focused,talkative flowery,earthy,skunk johnny’s tonic is a sativa-dominant california strain bred by elemental seeds. it took home a 2014 cannabis cup award for its high cbd content inherited from cannatonic."
1139,joliet-jake,indica,4.8,"relaxed,sleepy,euphoric","berry,sweet,menthol",joliet jake by cresco labs brings back-to-back bubba kush genetics together with potent results. the funky undertones of pre-98 bubba kush are enriched by the floral aromas of katsu bubba’s phenotype mother. its generous trichome density and hues of purple foliage give the strain an appetizing appearance alongside pain mitigating effects that relax the mind and body without being excessively sedative. enjoy this 90% indica later in the day to maximize this strain’s deep physical relaxation.  ,"joliet-jake indica relaxed,sleepy,euphoric berry,sweet,menthol joliet jake by cresco labs brings back-to-back bubba kush genetics together with potent results. the funky undertones of pre-98 bubba kush are enriched by the floral aromas of katsu bubba’s phenotype mother. its generous trichome density and hues of purple foliage give the strain an appetizing appearance alongside pain mitigating effects that relax the mind and body without being excessively sedative. enjoy this 90% indica later in the day to maximize this strain’s deep physical relaxation.  "
1140,jolly-rancher,hybrid,4.3,"euphoric,happy,giggly,tingly,creative","sweet,pungent,berry","not much is known about the california-bred hybrid jolly rancher, but this hybrid strain has nevertheless carved a name for itself among west coast genetics. its name and initial appeal lies primarily in jolly rancher’s sour candied aroma, although there’s also something to be said about its high-flying euphoria and colorful buds. coated with a sticky blanket of sugar-like resin, jolly rancher is a treat for all the senses.","jolly-rancher hybrid euphoric,happy,giggly,tingly,creative sweet,pungent,berry not much is known about the california-bred hybrid jolly rancher, but this hybrid strain has nevertheless carved a name for itself among west coast genetics. its name and initial appeal lies primarily in jolly rancher’s sour candied aroma, although there’s also something to be said about its high-flying euphoria and colorful buds. coated with a sticky blanket of sugar-like resin, jolly rancher is a treat for all the senses."
1141,josh-d-og,indica,3.7,"aroused,tingly,uplifted,creative,euphoric","berry,blueberry,blue,cheese","josh d og by karma genetics is a handcrafted og hybrid with a lineage stretching back to florida, 1991. josh d and matt “bubba” berger began developing these genetics in orlando and helped define the og culture we know today. this strain is a three deep cross of sfv og x triangle kush x hell’s angels og and offers consumers relaxing effects with an amplified kush flavor. this indica-dominant hybrid is euphoric and happy while still saddling consumers with potent mid-level sedation.   ","josh-d-og indica aroused,tingly,uplifted,creative,euphoric berry,blueberry,blue,cheese josh d og by karma genetics is a handcrafted og hybrid with a lineage stretching back to florida, 1991. josh d and matt “bubba” berger began developing these genetics in orlando and helped define the og culture we know today. this strain is a three deep cross of sfv og x triangle kush x hell’s angels og and offers consumers relaxing effects with an amplified kush flavor. this indica-dominant hybrid is euphoric and happy while still saddling consumers with potent mid-level sedation.   "
1142,jr,indica,4.5,"relaxed,happy,euphoric,hungry,sleepy","pungent,earthy,sweet","named after the dark alcoholic beverage from germany, jr is an indica-dominant strain with a tinge of black licorice in its aroma. little is known about its genetics, but rumor has placed jr somewhere in the hindu kush genealogy or a cross of la confidential and blue dream. some also suspect it was bred and popularized in southern oregon. as stupefying as its name makes it out to be, jr's full body effects are better described as relaxing than sedating.","jr indica relaxed,happy,euphoric,hungry,sleepy pungent,earthy,sweet named after the dark alcoholic beverage from germany, jr is an indica-dominant strain with a tinge of black licorice in its aroma. little is known about its genetics, but rumor has placed jr somewhere in the hindu kush genealogy or a cross of la confidential and blue dream. some also suspect it was bred and popularized in southern oregon. as stupefying as its name makes it out to be, jr's full body effects are better described as relaxing than sedating."
1143,juicy-fruit,hybrid,4.1,"happy,euphoric,relaxed,uplifted,energetic","citrus,earthy,sweet","also known as fruity juice, this cannabis strain was developed by sensi seeds. crossed with pure afghani indica and pure thai sativa, juicy fruit is a large-leafed, thick-stemmed plant with colors of green and purple. once broken up, colors of lavender, orange, and amber-purple float throughout the trichome heads and into the stems. flowering time is approximately 7-9 weeks, with a thc level measuring about 15-20%. smells are described as ranging from tangy and sweet, sort of like fruit punch and lemons, to a blend of piña colada and plums. the effects begin with a dizzy, light-headed feeling and can last up to 3 hours. ","juicy-fruit hybrid happy,euphoric,relaxed,uplifted,energetic citrus,earthy,sweet also known as fruity juice, this cannabis strain was developed by sensi seeds. crossed with pure afghani indica and pure thai sativa, juicy fruit is a large-leafed, thick-stemmed plant with colors of green and purple. once broken up, colors of lavender, orange, and amber-purple float throughout the trichome heads and into the stems. flowering time is approximately 7-9 weeks, with a thc level measuring about 15-20%. smells are described as ranging from tangy and sweet, sort of like fruit punch and lemons, to a blend of piña colada and plums. the effects begin with a dizzy, light-headed feeling and can last up to 3 hours. "
1144,juicy-jack,hybrid,4.3,"uplifted,happy,euphoric,creative,talkative","earthy,sweet,citrus","juicy jack combines the tropical flavors of juicy fruit with the therapeutic attributes of jack herer. this hybrid is balanced between its indica and sativa heritage but its effects lean towards the creative, uplifting buzz associated with sativas. juicy jack creates a flavorful mouthful of sweet berry notes that mingle with a spiced, earthy musk to usher in a euphoric burst of heady effects.","juicy-jack hybrid uplifted,happy,euphoric,creative,talkative earthy,sweet,citrus juicy jack combines the tropical flavors of juicy fruit with the therapeutic attributes of jack herer. this hybrid is balanced between its indica and sativa heritage but its effects lean towards the creative, uplifting buzz associated with sativas. juicy jack creates a flavorful mouthful of sweet berry notes that mingle with a spiced, earthy musk to usher in a euphoric burst of heady effects."
1145,juliet,hybrid,4.5,"happy,uplifted,energetic,euphoric,relaxed","pine,sweet,earthy",juliet is a sativa-dominant hybrid cross between cinderella 99 and nyc diesel that uplifts both mind and body with a sweet berry aroma. a subtle buzz of cerebral energy promotes focus and sharpens the senses in a comfortable psychoactive experience conducive to social activities. juliet’s happy calm may be useful for patients treating mood and stress disorders like anxiety and depression.,"juliet hybrid happy,uplifted,energetic,euphoric,relaxed pine,sweet,earthy juliet is a sativa-dominant hybrid cross between cinderella 99 and nyc diesel that uplifts both mind and body with a sweet berry aroma. a subtle buzz of cerebral energy promotes focus and sharpens the senses in a comfortable psychoactive experience conducive to social activities. juliet’s happy calm may be useful for patients treating mood and stress disorders like anxiety and depression."
1146,julius-caesar,hybrid,4.5,"happy,euphoric,uplifted,relaxed,focused","earthy,pine,sweet","a cali connection product, julius caesar is the child of imperial powers socal master kush and sfv og kush, giving it a high quality pedigree. plants have average growing and yield characteristics, including a flowering time of 8 to 10 weeks. effects are powerful and take over quickly, much like the conqueror it is named after. a high thc content makes this strain ideal for complete (although sometimes brief) stress and anxiety relief.","julius-caesar hybrid happy,euphoric,uplifted,relaxed,focused earthy,pine,sweet a cali connection product, julius caesar is the child of imperial powers socal master kush and sfv og kush, giving it a high quality pedigree. plants have average growing and yield characteristics, including a flowering time of 8 to 10 weeks. effects are powerful and take over quickly, much like the conqueror it is named after. a high thc content makes this strain ideal for complete (although sometimes brief) stress and anxiety relief."
1147,jungle-juice,hybrid,4.4,"relaxed,happy,creative,sleepy,energetic","flowery,citrus,tree,fruit","bred by golden state genetics, jungle juice is a hybrid strain that crosses animal cookies and their in-house tangie male. balancing sweet and sour citrus flavors, this strain offers a flavorful release from stress, sleeplessness, and pain.","jungle-juice hybrid relaxed,happy,creative,sleepy,energetic flowery,citrus,tree,fruit bred by golden state genetics, jungle juice is a hybrid strain that crosses animal cookies and their in-house tangie male. balancing sweet and sour citrus flavors, this strain offers a flavorful release from stress, sleeplessness, and pain."
1148,jupiter-og,indica,4.4,"relaxed,sleepy,euphoric,happy,hungry","pungent,diesel,sweet","named for the largest planet in our solar system, jupiter og has a big impact on its users. not only does this indica boast one of the highest yields of the planetary strains, it’s also fast-acting and extremely potent. known among the celestials for its particularly dense nugs with an abundance of reddish hairs, jupiter og leaves nothing to be desired. this strain features a pungent fuel smell and overpowering taste. jupiter og provides a very heavy and long-lasting body high, making it great for people looking for relief from insomnia or pain.","jupiter-og indica relaxed,sleepy,euphoric,happy,hungry pungent,diesel,sweet named for the largest planet in our solar system, jupiter og has a big impact on its users. not only does this indica boast one of the highest yields of the planetary strains, it’s also fast-acting and extremely potent. known among the celestials for its particularly dense nugs with an abundance of reddish hairs, jupiter og leaves nothing to be desired. this strain features a pungent fuel smell and overpowering taste. jupiter og provides a very heavy and long-lasting body high, making it great for people looking for relief from insomnia or pain."
1149,k-train,indica,4.4,"euphoric,happy,uplifted,relaxed,creative","citrus,tree,fruit,lemon","k-train is a mostly indica strain that was developed by greenhouse seeds as a cross between og kush and trainwreck. these parents are both popular in their own right and were chosen to try and combine their prized effects: the muscle-relaxant qualities of og kush with the lucid mental buzz that trainwreck induces. once you get on the k-train, be prepared to sit back and relax with something creative for a while. thanks to its potency, it’s a popular medical choice to treat depression, stress disorders, and pain for patients who want to relax without total sedation. still a strong indica, the k-train hits you hard and fast and may prove to be an intense ride for some. these plants are easy to grow and should flower in 9 weeks with the oversized buds that are characteristic of its trainwreck lineage. k-train’s kush genetics dominate the aroma, making it sweet and earthy with a hint of black licorice.","k-train indica euphoric,happy,uplifted,relaxed,creative citrus,tree,fruit,lemon k-train is a mostly indica strain that was developed by greenhouse seeds as a cross between og kush and trainwreck. these parents are both popular in their own right and were chosen to try and combine their prized effects: the muscle-relaxant qualities of og kush with the lucid mental buzz that trainwreck induces. once you get on the k-train, be prepared to sit back and relax with something creative for a while. thanks to its potency, it’s a popular medical choice to treat depression, stress disorders, and pain for patients who want to relax without total sedation. still a strong indica, the k-train hits you hard and fast and may prove to be an intense ride for some. these plants are easy to grow and should flower in 9 weeks with the oversized buds that are characteristic of its trainwreck lineage. k-train’s kush genetics dominate the aroma, making it sweet and earthy with a hint of black licorice."
1150,k1,hybrid,4.1,"happy,focused,energetic,euphoric,relaxed","pine,chemical,ammonia",k1 is a sativa-dominant hybrid cross between durban poison and la kush. this variety took third place in the hash category of the 2014 denver cannabis cup.,"k1 hybrid happy,focused,energetic,euphoric,relaxed pine,chemical,ammonia k1 is a sativa-dominant hybrid cross between durban poison and la kush. this variety took third place in the hash category of the 2014 denver cannabis cup."
1151,k2,hybrid,4,"relaxed,happy,giggly,hungry,sleepy","earthy,citrus,sweet","named for earth's second highest mountain peak, k2 is sure to leave you at a higher elevation. the mellow flavor is accented with hints of fruit and spice, and the captivating aroma helped to make it a staple at coffee shops in amsterdam. a cross between white widow and hindu kush, this dependable dutch hybrid first attracted growers for its compact stature, while the relaxing indica effects have kept consumers who battle anxiety and insomnia asking for more.","k2 hybrid relaxed,happy,giggly,hungry,sleepy earthy,citrus,sweet named for earth's second highest mountain peak, k2 is sure to leave you at a higher elevation. the mellow flavor is accented with hints of fruit and spice, and the captivating aroma helped to make it a staple at coffee shops in amsterdam. a cross between white widow and hindu kush, this dependable dutch hybrid first attracted growers for its compact stature, while the relaxing indica effects have kept consumers who battle anxiety and insomnia asking for more."
1152,kc-33,hybrid,4.4,"relaxed,tingly,euphoric,happy,hungry","citrus,lemon,sweet","kc 33, bred by kc brains in holland, is a 60/40 indica-dominant hybrid cross between afghani, haze, and a ukrainian landrace strain. the '33' marks the breeder's age when this strain was conceived in 1993. with a zesty lemon aroma, kc 33 delivers weightless cerebral effects that never sink down to the body. this strain was mainly bred for the outdoor cultivator, as these plants thrive in wet, cooler climates. ","kc-33 hybrid relaxed,tingly,euphoric,happy,hungry citrus,lemon,sweet kc 33, bred by kc brains in holland, is a 60/40 indica-dominant hybrid cross between afghani, haze, and a ukrainian landrace strain. the '33' marks the breeder's age when this strain was conceived in 1993. with a zesty lemon aroma, kc 33 delivers weightless cerebral effects that never sink down to the body. this strain was mainly bred for the outdoor cultivator, as these plants thrive in wet, cooler climates. "
1153,kc-36,indica,4.2,"sleepy,relaxed,uplifted,euphoric,hungry","sweet,blueberry,grape","cultivated by kc brains, kc 36 is an indica strain bred specifically to flourish at high latitudes. a cross between white widow and kc 606, these frosty and compact buds deliver full-on body relaxation alongside a sweet and spicy floral aroma. the peaceful, introspective qualities of kc 36 make this indica a perfect pair for meditation and enjoying nature.","kc-36 indica sleepy,relaxed,uplifted,euphoric,hungry sweet,blueberry,grape cultivated by kc brains, kc 36 is an indica strain bred specifically to flourish at high latitudes. a cross between white widow and kc 606, these frosty and compact buds deliver full-on body relaxation alongside a sweet and spicy floral aroma. the peaceful, introspective qualities of kc 36 make this indica a perfect pair for meditation and enjoying nature."
1154,kt-dawg,hybrid,4.8,"uplifted,happy,relaxed,giggly,euphoric","sweet,flowery,earthy","kt dawg offers a complex mixture of effects that soothes and uplifts. this hybrid blends anti-inflammatory pain relief and pleasurable physical effects with a focused, cerebral buzz. kt dawg’s aroma is pungent, reeking of skunk and forest floor. the earthy terpenes mellow on the palate while stimulating appetite and creativity. kt dawg is a cross of kunduz,  tang tang, and stardawg.    ","kt-dawg hybrid uplifted,happy,relaxed,giggly,euphoric sweet,flowery,earthy kt dawg offers a complex mixture of effects that soothes and uplifts. this hybrid blends anti-inflammatory pain relief and pleasurable physical effects with a focused, cerebral buzz. kt dawg’s aroma is pungent, reeking of skunk and forest floor. the earthy terpenes mellow on the palate while stimulating appetite and creativity. kt dawg is a cross of kunduz,  tang tang, and stardawg.    "
1155,kaboom,sativa,4.5,"energetic,happy,uplifted,creative,euphoric","lemon,pine,earthy",kaboom is a cross that combines jack's cleaner genetics with those of vortex. this sativa-dominant strain gives you an energetic head buzz that provides a spark of creativity and lifts the mood. medical patients enjoy kaboom's ability to relieve pain while maintaining daily functions.,"kaboom sativa energetic,happy,uplifted,creative,euphoric lemon,pine,earthy kaboom is a cross that combines jack's cleaner genetics with those of vortex. this sativa-dominant strain gives you an energetic head buzz that provides a spark of creativity and lifts the mood. medical patients enjoy kaboom's ability to relieve pain while maintaining daily functions."
1156,kahuna,indica,4.2,"uplifted,euphoric,relaxed,creative,focused","sweet,orange,tropical","kahuna is a 4-way cross between super skunk, big skunk korean, jack herer, and afghan hawaiian that brings together a wide set of influences for a complex high. the kahuna variety has both tropical influences in its parentage and spiritually attuning effects when used.","kahuna indica uplifted,euphoric,relaxed,creative,focused sweet,orange,tropical kahuna is a 4-way cross between super skunk, big skunk korean, jack herer, and afghan hawaiian that brings together a wide set of influences for a complex high. the kahuna variety has both tropical influences in its parentage and spiritually attuning effects when used."
1157,kaia-kush,hybrid,4.7,"relaxed,happy,euphoric,tingly,uplifted","lemon,sweet,pungent","created by apothecary genetics, kaia kush is a 60% sativa cross between super silver haze and og kush. this earthy, spicy hybrid is perfect for daytime consumption, with creative and relaxing effects that won’t impede your productivity. kaia kush’s full onset can be slow, but be patient while dosing: once effects kick in, they tend to stick around for a long time. pain, appetite loss, depression, and fatigue are flushed away without that feeling of being overly medicated. this first place champion of the 2007 amsterdam high times cannabis cup is suitable for outdoor grows as well as indoor gardens, with a flowering time of 9 to 10 weeks.","kaia-kush hybrid relaxed,happy,euphoric,tingly,uplifted lemon,sweet,pungent created by apothecary genetics, kaia kush is a 60% sativa cross between super silver haze and og kush. this earthy, spicy hybrid is perfect for daytime consumption, with creative and relaxing effects that won’t impede your productivity. kaia kush’s full onset can be slow, but be patient while dosing: once effects kick in, they tend to stick around for a long time. pain, appetite loss, depression, and fatigue are flushed away without that feeling of being overly medicated. this first place champion of the 2007 amsterdam high times cannabis cup is suitable for outdoor grows as well as indoor gardens, with a flowering time of 9 to 10 weeks."
1158,kalalau-kush,hybrid,5,"tingly,uplifted,euphoric,happy,creative","sweet,tropical,pineapple","kalalau kush is a stimulating sativa-dominant hybrid named for the beautiful kalalau valley on the garden island of kaua’i. this flower smells of guava with herbaceous undertones. the flavor is tropical, exhibiting hints of mango and musky spice. kalalau kush offers consumers potent cerebral energy and vigorous physical stimulation. it is ideal for outdoor activity and for patients combating depression and lethargy. this strain is produced by pua mana 1st hawaiian pakalōlō seed bank.  ","kalalau-kush hybrid tingly,uplifted,euphoric,happy,creative sweet,tropical,pineapple kalalau kush is a stimulating sativa-dominant hybrid named for the beautiful kalalau valley on the garden island of kaua’i. this flower smells of guava with herbaceous undertones. the flavor is tropical, exhibiting hints of mango and musky spice. kalalau kush offers consumers potent cerebral energy and vigorous physical stimulation. it is ideal for outdoor activity and for patients combating depression and lethargy. this strain is produced by pua mana 1st hawaiian pakalōlō seed bank.  "
1159,kalashnikova,hybrid,4.3,"relaxed,happy,energetic,hungry,sleepy","sweet,citrus,earthy","kalashnikova is green house seeds’ hybrid of ak-47 and white widow. it produces strong, long-lasting indica effects while maintaining a clear train of thought. kalashnikova’s aroma is a mixture of lemon, mango, and sweet honey. with flavors of spiced hash and earthy musk, kalashnikova ushers in full body relaxation while stimulating creativity, and allows you maintain an outgoing nature in social settings.","kalashnikova hybrid relaxed,happy,energetic,hungry,sleepy sweet,citrus,earthy kalashnikova is green house seeds’ hybrid of ak-47 and white widow. it produces strong, long-lasting indica effects while maintaining a clear train of thought. kalashnikova’s aroma is a mixture of lemon, mango, and sweet honey. with flavors of spiced hash and earthy musk, kalashnikova ushers in full body relaxation while stimulating creativity, and allows you maintain an outgoing nature in social settings."
1160,kaleidos-dope,hybrid,4,none,none,"another banger from snow high seeds, kaleidos dope is a cross of a quick and frosty sour lsd female with snow high’s own og purple fire thai male, creating a delicious, potent, high yielding hybrid that is sure to impress commercial growers and connoisseurs alike. there are several excellent phenotypes to choose from, all exhibiting high thc levels of anywhere from 18-24%.  aromas and flavors include grape bubble gum, strawberry, sweet-and-sour fruit punch, and chem/fuel. combining a euphoric body high with colorful, trippy visuals, kaleidos dope may be too much for the novice consumer.     ","kaleidos-dope hybrid none none another banger from snow high seeds, kaleidos dope is a cross of a quick and frosty sour lsd female with snow high’s own og purple fire thai male, creating a delicious, potent, high yielding hybrid that is sure to impress commercial growers and connoisseurs alike. there are several excellent phenotypes to choose from, all exhibiting high thc levels of anywhere from 18-24%.  aromas and flavors include grape bubble gum, strawberry, sweet-and-sour fruit punch, and chem/fuel. combining a euphoric body high with colorful, trippy visuals, kaleidos dope may be too much for the novice consumer.     "
1161,kali-47,sativa,5,"uplifted,creative,energetic,euphoric,happy","sweet,vanilla","kali 47 is a mostly sativa strain that is characterized by sweet fruity flavors with hints of caramel. for many patients, kali 47 may relieve an array of symptoms including depression, pain, and stress. a cross between kali mist and ak-47, kali 47 delivers happy euphoric effects that allow the mind to stay agile while relaxing the body. this sativa is easy to grow, making it an ideal choice for novice cultivators. ","kali-47 sativa uplifted,creative,energetic,euphoric,happy sweet,vanilla kali 47 is a mostly sativa strain that is characterized by sweet fruity flavors with hints of caramel. for many patients, kali 47 may relieve an array of symptoms including depression, pain, and stress. a cross between kali mist and ak-47, kali 47 delivers happy euphoric effects that allow the mind to stay agile while relaxing the body. this sativa is easy to grow, making it an ideal choice for novice cultivators. "
1162,kali-china,indica,4.2,"creative,relaxed,euphoric,sleepy,talkative","spicy/herbal,minty,pepper","kali china, bred by ace seeds, is a 75% indica strain that combines an uplifting kali mist with the potent china yunnan. this strain inherits stimulating and engaging effects from its sativa parent along with a short flowering time from the china yunnan indica. aromas of sweet mango intermix with earthy notes of hash and spice in an intricate flavor profile. kali china’s effects command relaxation, but leave the mind nimble enough for conversation and focus. when grown indoors, kali china finishes flowering after 45 to 55 days while outdoor gardens complete their bloom during the september-october transition. ","kali-china indica creative,relaxed,euphoric,sleepy,talkative spicy/herbal,minty,pepper kali china, bred by ace seeds, is a 75% indica strain that combines an uplifting kali mist with the potent china yunnan. this strain inherits stimulating and engaging effects from its sativa parent along with a short flowering time from the china yunnan indica. aromas of sweet mango intermix with earthy notes of hash and spice in an intricate flavor profile. kali china’s effects command relaxation, but leave the mind nimble enough for conversation and focus. when grown indoors, kali china finishes flowering after 45 to 55 days while outdoor gardens complete their bloom during the september-october transition. "
1163,kali-dog,hybrid,4.8,"relaxed,uplifted,happy,focused,energetic","citrus,lemon,diesel","this og kush and sour diesel hybrid from royal queen seeds is a powerful strain that has an overwhelming aroma of lemons and diesel fuel. kali dog is a sativa-dominant cross but a heavy influence from the indica genetics gives this strain a balanced effect that is described as uplifting, relaxing, and cerebral.","kali-dog hybrid relaxed,uplifted,happy,focused,energetic citrus,lemon,diesel this og kush and sour diesel hybrid from royal queen seeds is a powerful strain that has an overwhelming aroma of lemons and diesel fuel. kali dog is a sativa-dominant cross but a heavy influence from the indica genetics gives this strain a balanced effect that is described as uplifting, relaxing, and cerebral."
